Date,Open*,High,Low,Close**,Volume,Market Cap
22-Feb-20,"9,687.71","9,698.23","9,600.73",9663.18,35838025154.00,"176,180,696,548"
21-Feb-20,"9,611.78","9,723.01","9,589.74",9686.44,40930547513.00,"176,587,087,363"
20-Feb-20,"9,629.33","9,643.22","9,507.90",9608.48,44925260237.00,"175,147,142,158"
19-Feb-20,"10,143.80","10,191.68","9,611.22",9633.39,46992019710.00,"175,585,931,679"
18-Feb-20,"9,691.23","10,161.94","9,632.38",10142.00,47271023953.00,"184,838,512,656"
17-Feb-20,"9,936.56","9,938.82","9,507.64",9690.14,45998298413.00,"176,585,280,987"
16-Feb-20,"9,889.18","10,053.97","9,722.39",9934.43,43374780305.00,"181,017,665,264"
15-Feb-20,"10,313.86","10,341.56","9,874.43",9889.42,43865054831.00,"180,179,996,219"
14-Feb-20,"10,211.55","10,322.00","10,125.53",10312.12,43338264162.00,"187,862,645,449"
13-Feb-20,"10,323.96","10,457.63","10,116.16",10214.38,49356071373.00,"186,065,003,526"
12-Feb-20,"10,202.39","10,393.61","10,202.39",10326.05,43444303830.00,"188,081,204,386"
11-Feb-20,"9,855.89","10,210.05","9,729.33",10208.24,37648059389.00,"185,917,114,989"
10-Feb-20,"10,115.56","10,165.77","9,784.56",9856.61,39386548075.00,"179,494,809,266"
9-Feb-20,"9,863.89","10,129.44","9,850.39",10116.67,35807884663.00,"184,214,765,394"
8-Feb-20,"9,793.07","9,876.75","9,678.91",9865.12,35172043762.00,"179,615,828,322"
7-Feb-20,"9,726.00","9,834.72","9,726.00",9795.94,34522718159.00,"178,339,437,206"
6-Feb-20,"9,617.82","9,824.62","9,539.82",9729.80,37628823716.00,"177,118,274,394"
5-Feb-20,"9,183.42","9,701.30","9,163.70",9613.42,35222060874.00,"174,983,423,933"
4-Feb-20,"9,292.84","9,331.27","9,112.81",9180.96,29893183716.00,"167,093,636,162"
3-Feb-20,"9,344.68","9,540.37","9,248.63",9293.52,30934096509.00,"169,126,861,034"
2-Feb-20,"9,389.82","9,468.80","9,217.82",9344.37,30835736946.00,"170,034,976,662"
1-Feb-20,"9,346.36","9,439.32","9,313.24",9392.88,25922656496.00,"170,900,662,180"
31-Jan-20,"9,508.31","9,521.71","9,230.78",9350.53,29432489719.00,"170,112,778,161"
30-Jan-20,"9,316.02","9,553.13","9,230.90",9508.99,32378792851.00,"172,978,577,931"
29-Jan-20,"9,357.47","9,406.43","9,269.47",9316.63,30682598115.00,"169,460,984,603"
28-Jan-20,"8,912.52","9,358.59","8,908.45",9358.59,34398744403.00,"170,205,617,955"
27-Jan-20,"8,597.31","8,977.73","8,597.31",8909.82,28647338393.00,"162,027,957,435"
26-Jan-20,"8,364.41","8,602.40","8,325.50",8596.83,22177678796.00,"156,322,174,637"
25-Jan-20,"8,440.12","8,458.45","8,296.22",8367.85,19647331549.00,"152,143,262,650"
24-Jan-20,"8,405.57","8,514.67","8,266.84",8445.43,24397913026.00,"153,536,829,768"
23-Jan-20,"8,680.65","8,687.75","8,333.64",8406.52,25770680779.00,"152,813,329,633"
22-Jan-20,"8,744.21","8,792.99","8,636.75",8680.88,22600204051.00,"157,783,273,070"
21-Jan-20,"8,658.99","8,755.71","8,544.52",8745.89,24097418512.00,"158,947,996,834"
20-Jan-20,"8,704.63","8,745.59","8,560.47",8657.64,26422375678.00,"157,327,553,259"
19-Jan-20,"8,941.45","9,164.36","8,620.08",8706.25,34217320471.00,"158,194,319,735"
18-Jan-20,"8,927.21","9,012.20","8,827.33",8942.81,32337772627.00,"162,475,965,880"
17-Jan-20,"8,725.21","8,958.12","8,677.32",8929.04,36372139320.00,"162,211,148,778"
16-Jan-20,"8,812.48","8,846.46","8,612.10",8723.79,31313981931.00,"158,465,055,984"
15-Jan-20,"8,825.34","8,890.12","8,657.19",8807.01,40102834650.00,"159,959,191,212"
14-Jan-20,"8,140.93","8,879.51","8,140.93",8827.76,44841784107.00,"160,319,484,883"
13-Jan-20,"8,189.77","8,197.79","8,079.70",8144.19,22482910688.00,"147,890,525,973"
12-Jan-20,"8,033.26","8,200.06","8,009.06",8192.49,22903438381.00,"148,752,956,966"
11-Jan-20,"8,162.19","8,218.36","8,029.64",8037.54,25521165085.00,"145,924,199,942"
10-Jan-20,"7,878.31","8,166.55","7,726.77",8166.55,28714583844.00,"148,249,907,277"
9-Jan-20,"8,082.30","8,082.30","7,842.40",7879.07,24045990466.00,"143,016,572,819"
8-Jan-20,"8,161.94","8,396.74","7,956.77",8079.86,31672559265.00,"146,645,162,431"
7-Jan-20,"7,768.68","8,178.22","7,768.23",8163.69,28767291327.00,"148,152,237,654"
6-Jan-20,"7,410.45","7,781.87","7,409.29",7769.22,23276261598.00,"140,976,457,304"
5-Jan-20,"7,410.45","7,544.50","7,400.54",7411.32,19725074095.00,"134,469,548,249"
4-Jan-20,"7,345.38","7,427.39","7,309.51",7410.66,18444271275.00,"134,442,464,030"
3-Jan-20,"6,984.43","7,413.72","6,915.00",7344.88,28111481032.00,"133,233,444,755"
2-Jan-20,"7,202.55","7,212.16","6,935.27",6985.47,20802083465.00,"126,699,395,235"
1-Jan-20,"7,194.89","7,254.33","7,174.94",7200.17,18565664997.00,"130,580,829,150"
31-Dec-19,"7,294.44","7,335.29","7,169.78",7193.60,21167946112.00,"130,446,112,598"
30-Dec-19,"7,420.27","7,454.82","7,276.31",7293.00,22874131672.00,"132,235,128,152"
29-Dec-19,"7,317.65","7,513.95","7,279.87",7422.65,22445257702.00,"134,570,835,775"
