Date,BIZD,BLOK,DBO,GLD,IWM,SHY,SPY,STIP,USRT,UUP,VGLT,VWO
2005-06-21,,,,43.810001373291016,52.00260925292969,62.628658294677734,89.71318817138672,,,,,16.9145565032959
2005-06-22,,,,43.720001220703125,52.12476348876953,62.76780319213867,89.78703308105469,,,,,17.050935745239258
2005-06-23,,,,44.02000045776367,51.20458221435547,62.74459457397461,88.52410125732422,,,,,16.798633575439453
2005-06-24,,,,43.900001525878906,50.65898513793945,62.77553176879883,87.8741683959961,,,,,16.706573486328125
2005-06-27,,,,43.90999984741211,50.78928756713867,62.798709869384766,87.99969482421875,,,,,16.77477264404297
2005-06-28,,,,43.45000076293945,51.57917404174805,62.729183197021484,88.73828887939453,,,,,16.911149978637695
2005-06-29,,,,43.630001068115234,51.986324310302734,62.74459457397461,88.50192260742188,,,,,16.856590270996094
2005-06-30,,,,43.439998626708984,51.87232208251953,62.78324890136719,88.02185821533203,,,,,16.733854293823242
2005-07-01,,,,42.70000076293945,52.10033416748047,62.60972595214844,88.2803726196289,,,,,16.88728141784668
2005-07-05,,,,42.279998779296875,52.922813415527344,62.62523651123047,88.9894027709961,,,,,16.9145565032959
2005-07-06,,,,42.25,52.442344665527344,62.66397476196289,88.24345397949219,,,,,16.784992218017578
2005-07-07,,,,42.36000061035156,52.588932037353516,62.71815490722656,88.590576171875,,,,,16.77477264404297
2005-07-08,,,,42.2599983215332,53.7208366394043,62.648494720458984,89.60240936279297,,,,,16.87704849243164
2005-07-11,,,,42.540000915527344,54.38043212890625,62.602012634277344,90.06029510498047,,,,,17.149810791015625
2005-07-12,,,,42.63999938964844,54.209434509277344,62.602012634277344,90.29663848876953,,,,,17.3577880859375
2005-07-13,,,,42.349998474121094,54.087284088134766,62.60972595214844,90.4222183227539,,,,,17.354381561279297
2005-07-14,,,,41.900001525878906,53.6964111328125,62.60972595214844,90.77671813964844,,,,,17.460071563720703
2005-07-15,,,,42.04999923706055,53.745262145996094,62.61749267578125,90.72500610351562,,,,,17.374835968017578
2005-07-18,,,,42.0099983215332,53.43582534790039,62.602012634277344,90.36312866210938,,,,,17.327110290527344
2005-07-19,,,,41.88999938964844,54.185001373291016,62.62523651123047,90.8579330444336,,,,,17.504398345947266
2005-07-20,,,,42.20000076293945,54.844581604003906,62.61749267578125,91.16815948486328,,,,,17.654417037963867
2005-07-21,,,,42.459999084472656,53.98957061767578,62.55549621582031,90.63639068603516,,,,,17.780574798583984
2005-07-22,,,,42.45000076293945,54.82016372680664,62.61749267578125,91.24198913574219,,,,,17.807842254638672
2005-07-25,,,,42.5099983215332,54.46186447143555,62.594261169433594,90.98347473144531,,,,,17.5078067779541
2005-07-26,,,,42.25,54.62472152709961,62.57877731323242,91.09429168701172,,,,,17.606689453125
2005-07-27,,,,42.439998626708984,54.779449462890625,62.57877731323242,91.42662811279297,,,,,17.72942352294922
2005-07-28,,,,42.75,55.341339111328125,62.58649444580078,92.00274658203125,,,,,18.04991912841797
2005-07-29,,,,42.81999969482422,55.28433609008789,62.54774475097656,91.38970184326172,,,,,17.899906158447266
2005-08-01,,,,43.130001068115234,55.25989532470703,62.50971603393555,91.3232421875,,,,,18.10788345336914
2005-08-02,,,,43.13999938964844,55.675228118896484,62.517513275146484,91.8697738647461,,,,,18.472702026367188
2005-08-03,,,,43.529998779296875,55.39833068847656,62.54077911376953,92.113525390625,,,,,18.50679588317871
2005-08-04,,,,43.68000030517578,54.47000503540039,62.54077911376953,91.3749771118164,,,,,18.360185623168945
2005-08-05,,,,43.599998474121094,53.7208366394043,62.4864616394043,90.75454711914062,,,,,18.070377349853516
2005-08-08,,,,43.349998474121094,53.53352737426758,62.42433166503906,90.58466339111328,,,,,18.070377349853516
2005-08-09,,,,43.34000015258789,53.61497116088867,62.494163513183594,91.1312026977539,,,,,18.60907745361328
2005-08-10,,,,43.650001525878906,53.54168701171875,62.494163513183594,91.08692169189453,,,,,18.53066062927246
2005-08-11,,,,44.45000076293945,54.005828857421875,62.54077911376953,91.44879913330078,,,,,18.656810760498047
2005-08-12,,,,44.4900016784668,53.354393005371094,62.61846923828125,90.88749694824219,,,,,18.482929229736328
2005-08-15,,,,44.130001068115234,53.92444610595703,62.58734130859375,91.44879913330078,,,,,18.564760208129883
2005-08-16,,,,44.54999923706055,52.97980499267578,62.61846923828125,90.25969696044922,,,,,18.25790023803711
2005-08-17,,,,43.90999984741211,52.91466522216797,62.633880615234375,90.25231170654297,,,,,18.326093673706055
2005-08-18,,,,43.83000183105469,52.7436408996582,62.68830490112305,90.24495697021484,,,,,18.015825271606445
2005-08-19,,,,43.599998474121094,53.0205078125,62.66497802734375,90.45175170898438,,,,,17.968093872070312
2005-08-22,,,,43.70000076293945,53.32181167602539,62.67277145385742,90.45175170898438,,,,,18.21017074584961
2005-08-23,,,,43.7599983215332,53.31367874145508,62.73484420776367,90.28186798095703,,,,,17.98855209350586
2005-08-24,,,,43.59000015258789,53.101951599121094,62.74264907836914,89.47684478759766,,,,,17.760112762451172
2005-08-25,,,,43.72999954223633,53.395118713378906,62.73484420776367,89.80178833007812,,,,,18.029462814331055
2005-08-26,,,,43.61000061035156,52.52378463745117,62.68830490112305,89.18879699707031,,,,,17.831708908081055
